"SeasonId","Metric","Name","Value"
"Season1","SuccRaids","Anup Kumar",123
"Season1","SuccRaids","Rahul Chaudhari",123
"Season1","SuccRaids","Maninder Singh",103
"Season1","SuccRaids","Surjeet Narwal",100
"Season1","SuccRaids","Ajay Thakur",99
"Season1","SuccRaids","Kashiling Adake",93
"Season1","SuccRaids","Ravi Dalal",88
"Season1","SuccRaids","Wazir Singh",87
"Season1","SuccRaids","Jasvir Singh",85
"Season1","SuccRaids","Nitin Madane",78
"Season1","SuccRaids","Rakesh Kumar",78
"Season1","SuccRaids","Deepak Niwas Hooda",72
"Season1","SuccRaids","Sandeep Narwal",70
"Season1","SuccRaids","Sukesh Hegde",60
"Season1","SuccRaids","Rajesh Narwal",59
"Season1","SuccRaids","Manjeet Chhillar",53
"Season1","SuccRaids","Shabeer Bappu",52
"Season1","SuccRaids","Rishank Devadiga",46
"Season1","SuccRaids","Mahesh Goud",40
"Season1","SuccRaids","Jang Kun Lee",39
"Season1","SuccRaids","Shrikant Tewthia",37
"Season1","SuccRaids","Rajesh Mondal",32
"Season1","SuccRaids","Pawan Kumar",32
"Season1","SuccRaids","Jitesh Joshi",31
"Season1","SuccRaids","Sunil Jaipal",22
"Season1","SuccRaids","Mangesh Bhagat",19
"Season1","SuccRaids","Mahipal Narwal",18
"Season1","SuccRaids","Mahendra Ganesh Rajput",17
"Season1","SuccRaids","Deepak Kumar Dahiya",15
"Season1","SuccRaids","Manoj Kumar",14
"Season1","SuccRaids","Pravin Niwale",12
"Season1","SuccRaids","Waleed Al Hasani",10
"Season1","SuccRaids","Gangadhari Mallesh",10
"Season1","SuccRaids","Parmod Narwal",10
"Season1","SuccRaids","Surender Nada",8
"Season1","SuccRaids","Dharmaraj Cheralathan",8
"Season1","SuccRaids","Kalimuthu Balamahendran",8
"Season1","SuccRaids","Shyam Kumar Sah",7
"Season1","SuccRaids","Jasmer Singh Gulia",7
"Season1","SuccRaids","Balbir Singh",7
"Season1","SuccRaids","Gurvinder Singh",6
"Season1","SuccRaids","Suresu Kumar",6
"Season1","SuccRaids","Prashant Kumar Rai",5
"Season1","SuccRaids","Ran Singh",5
"Season1","SuccRaids","Simon Kibura",5
"Season1","SuccRaids","Sachin Khambe",5
"Season1","SuccRaids","Nilesh Shinde",5
"Season1","SuccRaids","Chandran Ranjit",4
"Season1","SuccRaids","D. Gopu",4
"Season1","SuccRaids","Preetam Chhillar",3
"Season1","SuccRaids","Dovlet Boshimov",3
"Season1","SuccRaids","Ehsan Zamani Fard",3
"Season1","SuccRaids","Wajid Ali",3
"Season1","SuccRaids","Ram Kumar Sah",3
"Season1","SuccRaids","Mandeep Kumar",2
"Season1","SuccRaids","Punit Kumar Teotia",2
"Season1","SuccRaids","Sinotharan Kanesharajah",2
"Season1","SuccRaids","Md. Arduzzaman Munshi",2
"Season1","SuccRaids","Girish Maruti Ernak",2
"Season1","SuccRaids","Rakesh Singh Kumar",1
"Season1","SuccRaids","Gurchet Singh",1
"Season1","SuccRaids","Prashant Chavan",1
"Season1","SuccRaids","Sunil Hanumanthappa",1
"Season1","SuccRaids","Amit Singh Chhillar",1
"Season1","SuccRaids","Gurpreet Singh",1
"Season1","SuccRaids","Tae Deok Eom",1
"Season1","SuccRaids","Dong Ju Hong",1
"Season1","SuccRaids","Takamitsu Kono",1
"Season1","SuccRaids","Mohit Chhillar",1
"Season1","SuccRaids","Rupesh Tomar",1
"Season1","SuccRaids","Rohit Rana",0
"Season1","SuccRaids","Somvir Shekhar",0
"Season1","SuccRaids","Raju Lal Choudhary",0
"Season1","SuccRaids","Rajaguru Subramanian",0
"Season1","SuccRaids","Navneet Gautam",0
"Season1","SuccRaids","Nitin More",0
"Season1","SuccRaids","Parveen Kumar",0
"Season1","SuccRaids","Kuldeep Singh",0
"Season1","SuccRaids","Jeeva Gopal",0
"Season1","SuccRaids","Jeeva Kumar",0
"Season1","SuccRaids","Mohammad Ziaur Rahman",0
"Season1","SuccRaids","Farhad Kamal Gharibi",0
"Season1","SuccRaids","Jaber Hemati Chonehkhan",0
"Season1","SuccRaids","Masayuki Shimokawa",0
"Season1","SuccRaids","Sanjay Shrestha",0
