"Team","Player","PlayerType","PlayerUrl","TotalMatches","TotalPoints","TotalRaidPoints","TotalDefencePoints","TotalRaids","SuccRaids","UnSuccRaids","EmptyRaids","Tackles","SuccTackles","UnSuccTackles","GreenCards","RedCards","YellowCards"
"BengalWarriors","Anil Kumar","Raider","/players/765-anil-kumar-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Deepak Narwal","Raider","/players/211-deepak-narwal-playerprofile",31,107,101,6,259,74,70,115,20,5,15,0,0,0
"BengalWarriors","Jang Kun Lee","Raider","/players/12-jang-kun-lee-playerprofile",51,262,243,19,527,188,121,218,66,17,49,2,0,0
"BengalWarriors","Kuldeep","Raider","/players/767-kuldeep-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Maninder Singh","Raider","/players/143-maninder-singh-playerprofile",16,137,130,7,175,103,42,30,19,6,13,0,0,0
"BengalWarriors","Vinod Kumar","Raider","/players/387-vinod-kumar-playerprofile",9,20,19,1,61,16,14,31,6,1,5,0,0,0
"BengalWarriors","Rahul Kumar","Defender, right cover","/players/288-rahul-kumar-playerprofile",20,16,0,16,0,0,0,0,62,14,48,0,0,0
"BengalWarriors","Surjeet Singh","Defender, right cover","/players/322-surjeet-singh-playerprofile",26,86,1,85,9,1,0,8,148,80,68,0,0,0
"BengalWarriors","Sandeep Malik","Defender, right corner","/players/727-sandeep-malik-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Virendra Singh","Defender, right corner","/players/789-virendra-singh-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Ameares Mondal","Defender, left cover","/players/602-ameares-mondal-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Shashank Wankhede","Defender, left cover","/players/279-shashank-wankhede-playerprofile",2,0,0,0,1,0,1,0,3,0,3,0,0,0
"BengalWarriors","Young Chang Ko","Defender, left cover","/players/519-young-chang-ko-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengalWarriors","Bhupender Singh","All Rounder","/players/34-bhupender-singh-playerprofile",26,42,33,9,109,26,27,56,31,9,22,2,0,0
"BengalWarriors","Ran Singh","All Rounder","/players/160-ran-singh-playerprofile",54,154,49,105,117,34,24,59,208,98,110,0,0,0
"BengalWarriors","Ravindra Ramesh Kumavat","All Rounder","/players/370-ravindra-ramesh-kumavat-playerprofile",2,3,2,1,8,2,3,3,1,1,0,0,0,0
"BengalWarriors","Shrikant Tewthia","All Rounder","/players/107-shrikant-tewthia-playerprofile",40,104,71,33,191,62,50,79,112,29,83,1,0,0
"BengalWarriors","Vikash","All Rounder","/players/741-vikash-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengaluruBulls","Ajay Kumar","Raider","/players/389-ajay-kumar-playerprofile",15,61,61,0,107,44,23,40,7,0,7,1,0,0
"BengaluruBulls","Gurvinder Singh","Raider","/players/46-gurvinder-singh-playerprofile",34,72,61,11,181,46,45,90,45,10,35,0,0,0
"BengaluruBulls","Harish Naik","Raider","/players/372-harish-naik-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengaluruBulls","Rohit","Raider","/players/730-rohit-playerprofile",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BengaluruBulls","Rohit Kumar","Raider","/players/326-rohit-kumar-playerprofile",26,209,195,14,412,155,80,177,30,13,17,0,0,0
"BengaluruBulls","Sinotharan Kanesharajah","Raider","/players/21-sinotharan-kanesharajah-playerprofile",3,6,5,1,8,2,1,5,2,1,1,0,0,0
