"SeasonId","Metric","Name","Value"
"Season1","SuccRaids","Telugu Titans",272
"Season1","SuccRaids","U Mumba",270
"Season1","SuccRaids","Jaipur Pink Panthers",270
"Season1","SuccRaids","Patna Pirates",253
"Season1","SuccRaids","Dabang Delhi K.C.",246
"Season1","SuccRaids","Bengaluru Bulls",225
"Season1","SuccRaids","Bengal Warriors",213
"Season1","SuccRaids","Puneri Paltan",204
"Season2","SuccRaids","Telugu Titans",265
"Season2","SuccRaids","Bengaluru Bulls",194
"Season2","SuccRaids","U Mumba",187
"Season2","SuccRaids","Jaipur Pink Panthers",183
"Season2","SuccRaids","Patna Pirates",182
"Season2","SuccRaids","Puneri Paltan",170
"Season2","SuccRaids","Dabang Delhi K.C.",159
"Season2","SuccRaids","Bengal Warriors",134
"Season3","SuccRaids","Patna Pirates",241
"Season3","SuccRaids","Bengal Warriors",213
"Season3","SuccRaids","U Mumba",206
"Season3","SuccRaids","Telugu Titans",206
"Season3","SuccRaids","Puneri Paltan",203
"Season3","SuccRaids","Dabang Delhi K.C.",171
"Season3","SuccRaids","Bengaluru Bulls",158
"Season3","SuccRaids","Jaipur Pink Panthers",149
"Season4","SuccRaids","Puneri Paltan",230
"Season4","SuccRaids","Telugu Titans",206
"Season4","SuccRaids","Patna Pirates",206
"Season4","SuccRaids","Jaipur Pink Panthers",203
"Season4","SuccRaids","U Mumba",188
"Season4","SuccRaids","Bengal Warriors",167
"Season4","SuccRaids","Dabang Delhi K.C.",162
"Season4","SuccRaids","Bengaluru Bulls",157
"Season1","RaidPoints","Bengaluru Bulls",647
"Season1","RaidPoints","Patna Pirates",638
"Season1","RaidPoints","U Mumba",624
"Season1","RaidPoints","Jaipur Pink Panthers",621
"Season1","RaidPoints","Telugu Titans",569
"Season1","RaidPoints","Dabang Delhi K.C.",559
"Season1","RaidPoints","Puneri Paltan",552
"Season1","RaidPoints","Bengal Warriors",546
"Season2","RaidPoints","Bengaluru Bulls",730
"Season2","RaidPoints","Telugu Titans",707
"Season2","RaidPoints","Patna Pirates",701
"Season2","RaidPoints","U Mumba",697
"Season2","RaidPoints","Puneri Paltan",600
"Season2","RaidPoints","Jaipur Pink Panthers",599
"Season2","RaidPoints","Bengal Warriors",595
"Season2","RaidPoints","Dabang Delhi K.C.",585
"Season3","RaidPoints","Patna Pirates",703
"Season3","RaidPoints","Bengal Warriors",702
"Season3","RaidPoints","Puneri Paltan",698
"Season3","RaidPoints","U Mumba",685
"Season3","RaidPoints","Dabang Delhi K.C.",614
"Season3","RaidPoints","Telugu Titans",609
"Season3","RaidPoints","Bengaluru Bulls",603
"Season3","RaidPoints","Jaipur Pink Panthers",593
"Season4","RaidPoints","Puneri Paltan",716
"Season4","RaidPoints","Patna Pirates",692
"Season4","RaidPoints","Telugu Titans",687
"Season4","RaidPoints","Jaipur Pink Panthers",666
"Season4","RaidPoints","Dabang Delhi K.C.",619
"Season4","RaidPoints","Bengaluru Bulls",605
"Season4","RaidPoints","Bengal Warriors",602
"Season4","RaidPoints","U Mumba",594
"Season1","SuccTack","Jaipur Pink Panthers",158
"Season1","SuccTack","Bengaluru Bulls",153
"Season1","SuccTack","U Mumba",145
"Season1","SuccTack","Patna Pirates",124
